name,price,link,image_url,vendor,handle,product_id,shelf_life,gekoeld,bevroren,weight_(g),volume_(l),inkoop,import_batch_size,import_delivery_time,,,,,,,,,,,,,,
Banaan,"0,30",https://upfront.nl/products/banaan,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Banana_CP_Still_v1.jpg?v=1771511353&width=750,Upfront Food Store,banaan,15577000542591,7,0,0,200,"0,25","0,1",1000,7,,,,,,,,,,,,,,
Passievrucht,"0,60",https://upfront.nl/products/passievrucht,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Passievrucht_CP_Still_v1.jpg?v=1770978076&width=750,Upfront Food Store,passievrucht,15576997036415,8,0,0,125,"0,15","0,2",400,7,,,,,,,,,,,,,,
Grapefruit,"0,90",https://upfront.nl/products/grapefruit,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Grapefruit_CP_Still_v1.jpg?v=1772793778&width=750,Upfront Food Store,grapefruit,15587239887231,9,0,0,330,"0,4","0,3",400,9,,,,,,,,,,,,,,5
Rijstwafels,1,https://upfront.nl/products/rijstwafels,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rijstwafels_CP_Still_v1.jpg?v=1771405236&width=750,Upfront Food Store,rijstwafels,15577005556095,30,0,0,120,1,"0,2",400,5,,,,,,,,,,,,,,
Karnemelk,"1,50",https://upfront.nl/products/karnemelk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Karnemelk_CP_Still_v1.jpg?v=1770994498&width=750,Upfront Food Store,karnemelk,15577004441983,7,1,0,400,"0,5","0,4",500,5,,,,,,,,,,,,,,
Melk,"1,50",https://upfront.nl/products/melk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Melk_CP_Still_v1_1.jpg?v=1771410278&width=750,Upfront Food Store,melk,15577001460095,10,1,0,1000,1,"0,5",500,5,,,,,,,,,,,,,,
Aardappelchips,2,https://upfront.nl/products/aardappelchips,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Chips_CP_Still_v1.jpg?v=1770978645&width=750,Upfront Food Store,aardappelchips,15577001951615,21,0,0,120,"1,2","0,6",500,7,,,,,,,,,,,,,,
Gefermenteerde Zuurkool,"2,30",https://upfront.nl/products/gefermenteerde-zuurkool,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Zuurkool_CP_Still_v1.jpg?v=1771411732&width=750,Upfront Food Store,gefermenteerde-zuurkool,15577001197951,21,0,0,300,"0,6","0,7",500,5,,,,,,,,,,,,,,
Beef Jerky,"2,50",https://upfront.nl/products/beef-jerky,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Jerky_Beef_CP_Still_v1.jpg?v=1771403951&width=750,Upfront Food Store,beef-jerky,15577001853311,21,0,0,40,"0,4","0,7",400,5,,,,,,,,,,,,,,
Ceylon kaneel,"2,50",https://upfront.nl/products/ceylon-kaneel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_CeylonKaneel_CP_Still_v1.jpg?v=1771409641&width=750,Upfront Food Store,ceylon-kaneel,15577002213759,60,0,0,40,"0,1","0,8",1000,9,,,,,,,,,,,,,,
