name,price,link,image_url,vendor,handle,product_id
Banaan,"€0,30",https://upfront.nl/products/banaan,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Banana_CP_Still_v1.jpg?v=1771511353&width=750,Upfront Food Store,banaan,15577000542591
Gele ui,"€0,30",https://upfront.nl/products/gele-ui,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Onion_CP_Still_v1.jpg?v=1771408074&width=750,Upfront Food Store,gele-ui,15576999952767
Mandarijn,"€0,30",https://upfront.nl/products/mandarijn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Mandarine_CP_Still_v1.jpg?v=1771408081&width=750,Upfront Food Store,mandarijn,15576998904191
Pruimen,"€0,30",https://upfront.nl/products/pruimen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Plum_CP_Still_v1.jpg?v=1771408066&width=750,Upfront Food Store,pruimen,15576999625087
Rode Ui,"€0,30",https://upfront.nl/products/rode-ui,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_RedOnion_CP_Still_v1.jpg?v=1771408045&width=750,Upfront Food Store,rode-ui,15576996577663
Appel,"€0,40",https://upfront.nl/products/appel,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Appel_CP_Still_v1.jpg?v=1771408125&width=750,Upfront Food Store,appel,15576999362943
Chili Peper,"€0,40",https://upfront.nl/products/chili-peper,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Chilli_CP_Still_v1.jpg?v=1771408102&width=750,Upfront Food Store,chili-peper,15577000214911
Paprika,"€0,45",https://upfront.nl/products/paprika,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_BellPepper_CP_Still_v1.jpg?v=1771408125&width=750,Upfront Food Store,paprika,15576999756159
Citroen,"€0,50",https://upfront.nl/products/citroen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Lemon_CP_Still_v1.jpg?v=1771408081&width=750,Upfront Food Store,citroen,15577000149375
Kiwi,"€0,50",https://upfront.nl/products/kiwi,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kiwi_CP_Still_v1.jpg?v=1771408089&width=750,Upfront Food Store,kiwi,15576999887231
